year	consul_prior	consul_posterior	comment_year	comment_consul_prior	comment_consul_posterior	consul_prior_wikipedia_uri	consul_posterior_wikipedia_uri	godot_uri	label
149	L. Sergius Salvidienus Scipio Orfitus (January–? February)	Q. Pompeius Sosius Priscus	Unless otherwise noted, consuls from 138 to 161 are taken from Werner Eck, "Die Fasti consulares der Regungszeit des Antoninus Pius, eine Bestandsaufnahme seit Géza Alföldys Konsulat und Senatorenstand" in Studia epigraphica in memoriam Géza Alföldy, hg. W. Eck, B. Feher, and P. Kovács (Bonn, 2013), pp. 69–137	So Eck ("Die Fasti consulares", p.75) and James H. Oliver ("The Solonian Constitution and a Consul of A.D. 149", Greek, Roman and Byzantine Studies, 13 (1972), pp. 103-107) separately. Alföldy identifies this consul with Servius Cornelius Scipio Salvidienus Orfitus, proconsul of Africa 163/164 (Konsulat und Senatorenstand, p. 153)			https://en.wikipedia.org/wiki/Quintus_Pompeius_Sosius_Priscus	https://godot.date/id/2ZPRXTsiqzx7navTEMEe9P	149 AD: L. Sergius Salvidienus Scipio Orfitus (January–? February) / Q. Pompeius Sosius Priscus
149	Q. Passienus Licinus (suff.; attested 5 July)	C. Julius Avitus (suff.)	Unless otherwise noted, consuls from 138 to 161 are taken from Werner Eck, "Die Fasti consulares der Regungszeit des Antoninus Pius, eine Bestandsaufnahme seit Géza Alföldys Konsulat und Senatorenstand" in Studia epigraphica in memoriam Géza Alföldy, hg. W. Eck, B. Feher, and P. Kovács (Bonn, 2013), pp. 69–138					https://godot.date/id/xauPzqwjKmRkFYnsfvRqY5	149 AD: Q. Passienus Licinus (suff.; attested 5 July) / C. Julius Avitus (suff.)
150	M. Gavius Squilla Gallicanus (January–February)	Sex. Carminius Vetus	Unless otherwise noted, consuls from 138 to 161 are taken from Werner Eck, "Die Fasti consulares der Regungszeit des Antoninus Pius, eine Bestandsaufnahme seit Géza Alföldys Konsulat und Senatorenstand" in Studia epigraphica in memoriam Géza Alföldy, hg. W. Eck, B. Feher, and P. Kovács (Bonn, 2013), pp. 69–139			https://en.wikipedia.org/wiki/Marcus_Gavius_Squilla_Gallicanus		https://godot.date/id/E78pgKT6k6UAWKAodrzFhE	150 AD: M. Gavius Squilla Gallicanus (January–February) / Sex. Carminius Vetus
150	--]mus (suff.; attested 27 May)	C. Laberius Priscus (suff.)	Unless otherwise noted, consuls from 138 to 161 are taken from Werner Eck, "Die Fasti consulares der Regungszeit des Antoninus Pius, eine Bestandsaufnahme seit Géza Alföldys Konsulat und Senatorenstand" in Studia epigraphica in memoriam Géza Alföldy, hg. W. Eck, B. Feher, and P. Kovács (Bonn, 2013), pp. 69–140					https://godot.date/id/DMwMP6Nhi4SfQ5DPwDm7JC	150 AD: --]mus (suff.; attested 27 May) / C. Laberius Priscus (suff.)
150	M. Cassius Apollinaris (suff.; attested 1 August)	M. Petronius Mamertinus (suff.)	Unless otherwise noted, consuls from 138 to 161 are taken from Werner Eck, "Die Fasti consulares der Regungszeit des Antoninus Pius, eine Bestandsaufnahme seit Géza Alföldys Konsulat und Senatorenstand" in Studia epigraphica in memoriam Géza Alföldy, hg. W. Eck, B. Feher, and P. Kovács (Bonn, 2013), pp. 69–141				https://en.wikipedia.org/wiki/Marcus_Petronius_Mamertinus	https://godot.date/id/aKgcni37gXK2q7GbK93GgB	150 AD: M. Cassius Apollinaris (suff.; attested 1 August) / M. Petronius Mamertinus (suff.)
151	Sex. Quintilius Condianus (January–March)	Sex. Quintilius Valerius Maximus	Unless otherwise noted, consuls from 138 to 161 are taken from Werner Eck, "Die Fasti consulares der Regungszeit des Antoninus Pius, eine Bestandsaufnahme seit Géza Alföldys Konsulat und Senatorenstand" in Studia epigraphica in memoriam Géza Alföldy, hg. W. Eck, B. Feher, and P. Kovács (Bonn, 2013), pp. 69–142					https://godot.date/id/w5fxMfwAo5wSJHAAr8ZtUe	151 AD: Sex. Quintilius Condianus (January–March) / Sex. Quintilius Valerius Maximus
151	M. Cominius Secundus (suff.; attested 24 September)	L. Attidius Cornelianus (suff.)	Unless otherwise noted, consuls from 138 to 161 are taken from Werner Eck, "Die Fasti consulares der Regungszeit des Antoninus Pius, eine Bestandsaufnahme seit Géza Alföldys Konsulat und Senatorenstand" in Studia epigraphica in memoriam Géza Alföldy, hg. W. Eck, B. Feher, and P. Kovács (Bonn, 2013), pp. 69–143					https://godot.date/id/wDXa7WqUiwaTksxNGJVESn	151 AD: M. Cominius Secundus (suff.; attested 24 September) / L. Attidius Cornelianus (suff.)
151	C. Curtius Justus (suff.; attested 2 October)	P. Julius Nauto (suff.)	Unless otherwise noted, consuls from 138 to 161 are taken from Werner Eck, "Die Fasti consulares der Regungszeit des Antoninus Pius, eine Bestandsaufnahme seit Géza Alföldys Konsulat und Senatorenstand" in Studia epigraphica in memoriam Géza Alföldy, hg. W. Eck, B. Feher, and P. Kovács (Bonn, 2013), pp. 69–144			https://en.wikipedia.org/wiki/Gaius_Curtius_Justus		https://godot.date/id/Mr9oodHPxahik5kQNnL2TE	151 AD: C. Curtius Justus (suff.; attested 2 October) / P. Julius Nauto (suff.)
152	M'. Acilius Glabrio Cn. Cornelius Severus (January–March)	M. Valerius Homullus	Unless otherwise noted, consuls from 138 to 161 are taken from Werner Eck, "Die Fasti consulares der Regungszeit des Antoninus Pius, eine Bestandsaufnahme seit Géza Alföldys Konsulat und Senatorenstand" in Studia epigraphica in memoriam Géza Alföldy, hg. W. Eck, B. Feher, and P. Kovács (Bonn, 2013), pp. 69–145			https://en.wikipedia.org/wiki/Manius_Acilius_Glabrio_Gnaeus_Cornelius_Severus		https://godot.date/id/CnpQd9gPzytjrjMvBuX3xR	152 AD: M'. Acilius Glabrio Cn. Cornelius Severus (January–March) / M. Valerius Homullus
152	P. Sufenas [ ?Verus] (suff.; April–June)	L. Dasumius Tullius Tuscus (suff.)	Unless otherwise noted, consuls from 138 to 161 are taken from Werner Eck, "Die Fasti consulares der Regungszeit des Antoninus Pius, eine Bestandsaufnahme seit Géza Alföldys Konsulat und Senatorenstand" in Studia epigraphica in memoriam Géza Alföldy, hg. W. Eck, B. Feher, and P. Kovács (Bonn, 2013), pp. 69–146				https://en.wikipedia.org/wiki/Lucius_Dasumius_Tullius_Tuscus	https://godot.date/id/b6AtwPuq4mWf4LXqtuZPKF	152 AD: P. Sufenas [ ?Verus] (suff.; April–June) / L. Dasumius Tullius Tuscus (suff.)
