emperor_label	wikidata_uri	victory_title	number	title_is_uncertain	not_before	not_after	time_span_end	date_is_uncertain	comment	godot_uri		
Licinius	https://www.wikidata.org/wiki/Q184549	Sarmaticus	1		0310		0324-09-19			https://godot.date/id/GNrjDjeYeHxQGc7vFvwyMY		
Licinius	https://www.wikidata.org/wiki/Q184549	Germanicus max.	1		0315		0324-09-19	TRUE		https://godot.date/id/f2Jeaapz8kMbqATbJcxZPQ		
Licinius	https://www.wikidata.org/wiki/Q184549	Sarmaticus max.	1		0315		0324-09-19	TRUE		https://godot.date/id/smGyJytqgSDoi9VhDgYJpX		
Constantin I	https://www.wikidata.org/wiki/Q8413	Germanicus	1		0313		0337-05-22	TRUE		https://godot.date/id/anhN9W5WMe2PHkBAWao8Ee		
Constantin I	https://www.wikidata.org/wiki/Q8413	Sarmaticus	1		0313		0337-05-22	TRUE		https://godot.date/id/ALrVVXRaShq7QnLD33pf7E		
Constantin I	https://www.wikidata.org/wiki/Q8413	Persicus	1		0312		0337-05-22	TRUE		https://godot.date/id/AXfecweeQFY2kr8kP6Lrh6		
Constantin I	https://www.wikidata.org/wiki/Q8413	Germanicus max.	1		0313		0318	TRUE		https://godot.date/id/9wRuisXTbwT2C6EXFAZVj4		
Constantin I	https://www.wikidata.org/wiki/Q8413	Sarmaticus max.	1		0313		0323	TRUE		https://godot.date/id/daZJsDTiiSp8NJWYWaioL7		
Constantin I	https://www.wikidata.org/wiki/Q8413	Britannicus max.	1		0313	0314	0337-05-22			https://godot.date/id/KMe8L8FB7zenhM3aE6fkYT		
Constantin I	https://www.wikidata.org/wiki/Q8413	Persicus max.	1			0315	0337-05-22			https://godot.date/id/PxmteZVRbQsvuFfBHFmYJW		
Constantin I	https://www.wikidata.org/wiki/Q8413	Adiabenicus max.	1			0315	0337-05-22			https://godot.date/id/qQskjZa8xs9PnbEnjZHLmi		
Constantin I	https://www.wikidata.org/wiki/Q8413	Medicus max.	1			0315	0337-05-22			https://godot.date/id/npqNd27WanosyzB8N8jsBB		
Constantin I	https://www.wikidata.org/wiki/Q8413	Gothicus max.	1		0315		0328			https://godot.date/id/bH22Tobz5PVKNwk74VZVDn		
Constantin I	https://www.wikidata.org/wiki/Q8413	Germanicus max.	3		0318		0329			https://godot.date/id/CtiQjdzjaAbnbU7wJs3V47		
Constantin I	https://www.wikidata.org/wiki/Q8413	Carpicus max.	1			0318	0337-05-22			https://godot.date/id/4pbz7QXMQxmbUYTZbcDdRZ		
Constantin I	https://www.wikidata.org/wiki/Q8413	Arabicus max.	1			0318	0337-05-22			https://godot.date/id/vYT3HbHSfhr5uuBJsAFRUi		
Constantin I	https://www.wikidata.org/wiki/Q8413	Armeniacus max.	1			0318	0337-05-22			https://godot.date/id/U5ewaQ5eiu6fPJGarVHsHW		
Constantin I	https://www.wikidata.org/wiki/Q8413	Sarmaticus max.	2		0323	0334	0329	TRUE	Kienast, Kaisertabelle: 232 AD; Barnes, New Empire: 334 AD	https://godot.date/id/v6CefBs4h8jQkoCWEAJCpm		
Constantin I	https://www.wikidata.org/wiki/Q8413	Gothicus max.	2		0328	0332	0337-05-22	TRUE	Kienast, Kaisertabelle: 328/9 AD; Barnes, New Empire: 332 AD	https://godot.date/id/eWW4e7zGW7XSWgGzn5grCJ		
Constantin I	https://www.wikidata.org/wiki/Q8413	Germanicus max.	4		0328	0329	0337-05-22			https://godot.date/id/Kg6U7aT6wEfBErYZ9jd4Mm		
Constantin I	https://www.wikidata.org/wiki/Q8413	Sarmaticus max.	3		0328	0329	0337-05-22	TRUE		https://godot.date/id/h9E29PYTJBwVDndVZacv7J		
Constantin I	https://www.wikidata.org/wiki/Q8413	Dacicus max.	1		0336		0337-05-22			https://godot.date/id/ppPdXwhA3SDQqPjMmhSKBF		
Constantin II	https://www.wikidata.org/wiki/Q46734	Alamannicus max.	1		0328		0340-04			https://godot.date/id/JXaMwTGSYEJGRRd9czucg9		
Constantin II	https://www.wikidata.org/wiki/Q46734	Germanicus max.	1		0338		0340-04	TRUE		https://godot.date/id/n6Dx6jUc9Y88DjJgwZd6vj		
Constantius II	https://www.wikidata.org/wiki/Q46418	Germanicus	1		0323	0332	0361-11-03	TRUE		https://godot.date/id/wZo7Qv5z6BhzHzXuWWtzJn		
Constantius II	https://www.wikidata.org/wiki/Q46418	Alamannicus max.	1		0323	0332	0361-11-03			https://godot.date/id/HjJGj97Jg3tcTTLzBpacTB		
Constantius II	https://www.wikidata.org/wiki/Q46418	Germanicus max.	1		0323	0332	0361-11-03			https://godot.date/id/3ZNA6gNmbUjzmYK8DFADRQ		
Constantius II	https://www.wikidata.org/wiki/Q46418	Gothicus max.	1		0332		0361-11-03			https://godot.date/id/7dmXCoKgydDQQcMkmS4kRX		
Constantius II	https://www.wikidata.org/wiki/Q46418	Adiabenicus max.	1		0343		0361-11-03	TRUE		https://godot.date/id/zH5rJQwL6x9Cxp2GjFQQuT		
Constantius II	https://www.wikidata.org/wiki/Q46418	Sarmaticus	1		0334	0337	0361-11-03	TRUE	Kienast, Kaisertabelle: 337 AD; ZPE 57 1984: 334 AD	https://godot.date/id/oRYhDZVE7HbGLcUp2ebA7N		
Constantius II	https://www.wikidata.org/wiki/Q46418	Persicus	1		0335	0338	0361-11-03	TRUE	Kienast, Kaisertabelle: 338 AD; ZPE 57 1984: 335 AD	https://godot.date/id/uhxgH2azTzkzbgx2KBrkdH		
Julian	https://www.wikidata.org/wiki/Q33941	Germanicus max.	1		0360-02		0363-06-27	TRUE		https://godot.date/id/F36R6o5DyTs9ZMB6xohs5b		
Julian	https://www.wikidata.org/wiki/Q33941	Alamannicus max.	1		0360-02		0363-06-27	TRUE		https://godot.date/id/TXNUDVy7f2KQbePyTmJvhR		
Julian	https://www.wikidata.org/wiki/Q33941	Francicus max.	1		0360-02	0362	0363-06-27			https://godot.date/id/yzTrgBqSiNxyaQDBqTgx9d		
Julian	https://www.wikidata.org/wiki/Q33941	Sarmaticus max.	1		0360-02		0363-06-27	TRUE		https://godot.date/id/HinVSfm5KiKM7Pu27kfUX9		
Valentinian I	https://www.wikidata.org/wiki/Q46720	Germanicus	1		0360-02		0375-11-17	TRUE		https://godot.date/id/cHaSTEGJnYucBjrjaZJXEY		
Valentinian I	https://www.wikidata.org/wiki/Q46720	Germanicus max.	1		0368		0375-11-17			https://godot.date/id/MaJiDXmgAXnp2z4N5g5X4W		
Valentinian I	https://www.wikidata.org/wiki/Q46720	Alamannicus max.	1		0368		0375-11-17			https://godot.date/id/EC2vRWaVgC7Wf7beMyiuHG		
Valentinian I	https://www.wikidata.org/wiki/Q46720	Francicus max.	1		0368		0375-11-17			https://godot.date/id/58fhi3z73ztTRoHQzAXUnD		
Valentinian I	https://www.wikidata.org/wiki/Q46720	Gothicus max.	1		0369		0375-11-17			https://godot.date/id/9k2K79BtvmXAgAfxGYA9eX		
Valens	https://www.wikidata.org/wiki/Q172471	Germanicus max.	1		0368		0378-08-09			https://godot.date/id/hWXsoAXvmkS78nkjtj5GiJ		
Valens	https://www.wikidata.org/wiki/Q172471	Alamannicus max.	1		0368		0378-08-09			https://godot.date/id/4dzP2bEyfqjQ5243XRuxfZ		
Valens	https://www.wikidata.org/wiki/Q172471	Francicus max.	1		0368		0378-08-09			https://godot.date/id/b8KoVNUaMkYR6Q2iqaBcbd		
Valens	https://www.wikidata.org/wiki/Q172471	Gothicus max.	1		0369		0378-08-09			https://godot.date/id/nnvi73NBtaf9abfRiLbSYh		
Gratian	https://www.wikidata.org/wiki/Q189108	Germanicus max.	1		0368		0383-08-25			https://godot.date/id/kXEPkhaLmSFpmnnv5H2A29		
Gratian	https://www.wikidata.org/wiki/Q189108	Alamannicus max.	1		0368		0383-08-25			https://godot.date/id/Yxurj2drQosDsCzM9qCffi		
Gratian	https://www.wikidata.org/wiki/Q189108	Francicus max.	1		0369		0383-08-25			https://godot.date/id/37j55rcUDd3rjZVDKfeX5d		
Gratian	https://www.wikidata.org/wiki/Q189108	Gothicus max.	1		0369		0383-08-25			https://godot.date/id/UZDVv33odYqACwDFD8XUA9		
