cycle	indiction_year	not_before	not_after	godot_uri
21	7	0617-08-29	0618-08-28	https://godot.date/id/UHxjA2J8SrFSz9WK9Wcpsm
21	8	0618-08-29	0619-08-29	https://godot.date/id/QBrWsWcAvSzjt3u3TyUYkf
21	9	0619-08-30	0620-08-28	https://godot.date/id/dkWsR6G2Hw5JtbNjHZeDdC
21	10	0620-08-29	0621-08-28	https://godot.date/id/TFw7wEShrpNXWkiHtqGrFm
21	11	0621-08-29	0622-08-28	https://godot.date/id/kZ8GpyCRdqxiYhzYGKMmfb
21	12	0622-08-29	0623-08-29	https://godot.date/id/Gkkr5FRCkGgoAg6SWqNhWG
21	13	0623-08-30	0624-08-28	https://godot.date/id/p3Z8SxpGf4JDu8qU8Yt8ZB
21	14	0624-08-29	0625-08-28	https://godot.date/id/yUtZ2EaQdVRTwdzsj5KWNg
21	15	0625-08-29	0626-08-28	https://godot.date/id/oi2Ggu9dPULhESxVDLyq3k
22	1	0626-08-29	0627-08-29	https://godot.date/id/2GDFDQBfr5UFTatkKtRsFi
22	2	0627-08-30	0628-08-28	https://godot.date/id/3mDLL4RzFoSQxARNy8QVP6
22	3	0628-08-29	0629-08-28	https://godot.date/id/8Frj5ohd9guAmuDgqjLqNP
22	4	0629-08-29	0630-08-28	https://godot.date/id/9LCPBEHSVFocEzNotbjiMn
22	5	0630-08-29	0631-08-29	https://godot.date/id/nNgMtmbK8qf7Gi3bQAkqoT
22	6	0631-08-30	0632-08-28	https://godot.date/id/sm8zwp9nnh85QG9oFByVui
22	7	0632-08-29	0633-08-28	https://godot.date/id/4wVDb8Y7GZvbAKnS3FHJwC
22	8	0633-08-29	0634-08-28	https://godot.date/id/8GTcJe8YW9noqh3vau72U6
22	9	0634-08-29	0635-08-29	https://godot.date/id/2GfpBBBF6u2aCD2Ej9K3aY
22	10	0635-08-30	0636-08-28	https://godot.date/id/gNbs3exhVQPDxL6dqkHoYh
22	11	0636-08-29	0637-08-28	https://godot.date/id/BZ8Z9PNezbTpypXDvJSWPb
22	12	0637-08-29	0638-08-28	https://godot.date/id/GWArKs5Fg9EXegnvp3EedD
22	13	0638-08-29	0639-08-29	https://godot.date/id/75ADSszT8srbXMQNxE5hzZ
22	14	0639-08-30	0640-08-28	https://godot.date/id/ZkrApPSj5cetrCWsXrFAtF
22	15	0640-08-29	0641-08-28	https://godot.date/id/NbEYgTnL2sqKp7BJ3BV9HA
23	1	0641-08-29	0642-08-28	https://godot.date/id/GHimRZ7YLTGFTXoEw4jqPa
23	2	0642-08-29	0643-08-29	https://godot.date/id/FJPX8RmaHNV363Nqs5W6RG
23	3	0643-08-30	0644-08-28	https://godot.date/id/6PWnPAr2hsGWPHWWSy5MtE
23	4	0644-08-29	0645-08-28	https://godot.date/id/mCFm3wuGLENi32kMQ9Ax39
23	5	0645-08-29	0646-08-28	https://godot.date/id/xjjUYosyArYAXks247ye5J
23	6	0646-08-29	0647-08-29	https://godot.date/id/YGr9XTiEDqgMop26ddXyAf
