emperor_label	wikidata_uri	consulate	number	title_is_uncertain	not_before	not_after	time_span_end	date_is_uncertain	comment	godot_uri	part_of_consulate		
Caligula	https://www.wikidata.org/wiki/Q1409	cos.	2		0039-01-01	0039-01-30	0039-07-01			https://godot.date/id/A9yermVdETB2hX6q8MQiB5	https://godot.date/id/fmCzHz8YkyvAjWeAE7TZXk		
Caligula	https://www.wikidata.org/wiki/Q1409	cos. design.	3		0039-07-01		0040-01-01			https://godot.date/id/23Zo6vsCtrU3kfrqph2KLV			
Caligula	https://www.wikidata.org/wiki/Q1409	cos.	3		0040-01-01	0040-01-13	0041-01-01		sine collega	https://godot.date/id/E2NArNfFZk6XYVJTPZFNcX	https://godot.date/id/tDtGXq77dcC84TUSHtYtk		
Caligula	https://www.wikidata.org/wiki/Q1409	cos.	4		0041-01-01	0041-01-07	0041-01-24			https://godot.date/id/6MdLsR8vqbqbvbsNFY52yb	https://godot.date/id/WC2deeRdvYM4y8NqPWKHbX		
Claudius	https://www.wikidata.org/wiki/Q1411	cos. suff.	1		0037-07-01	0037-08-31	0041			https://godot.date/id/TztxdCsoA9cfbBsDTijPQn	https://godot.date/id/Rt6kEK2hL7uAPagJWaeFXi		
Claudius	https://www.wikidata.org/wiki/Q1411	cos. design.	2		0041		0042-01-01			https://godot.date/id/HuNEEjXtQLc3rxodTHkMDj			
Claudius	https://www.wikidata.org/wiki/Q1411	cos.	2		0042-01-01	0042-02-28	0043-01-01			https://godot.date/id/VUhy7zS99uXtuqhvaWBDPL	https://godot.date/id/BF2aazpPZeMegd3H5mtD2H		
Claudius	https://www.wikidata.org/wiki/Q1411	cos.	3		0043-01-01	0043-02-28	0047-01-01			https://godot.date/id/WuLf7Afbbu7U5mb4yVEqLQ	https://godot.date/id/j6CrsQba4VivEknp7pTUML		
Claudius	https://www.wikidata.org/wiki/Q1411	cos.	4		0047-01-01	0047-02-28	0051-01-01			https://godot.date/id/n9gRqiUvcdx9M6zYcfZiF4	https://godot.date/id/s247PrDp6vFWYwCsz6wS8f		
Claudius	https://www.wikidata.org/wiki/Q1411	cos.	5		0051-01-01	0051-12-31	0054-10-13			https://godot.date/id/WHWgFjZGBvhfyRyv7V6sV8	https://godot.date/id/GdFkToKtR8Xpsnx3c8EFAg ; https://godot.date/id/UEf7mkpmh9PrpbmRe4uU7J ; https://godot.date/id/E2TTeVxD4C6uGFpbzNQWRH		
Nero	https://www.wikidata.org/wiki/Q1413	cos. design.	1		0051-03-04		0055-01-01			https://godot.date/id/HdPfAgN2kDSbu2YxtyYjrm			
